id,time,address_as_recorded,reason,geocoded_as,lat,lon
"10","00:26","5 Chalsey Road, Brokerley, SE6","district","London, Greater London SE6, UK","51.436207","-0.017549"
"17","00:32","Tustin Street, Camberwell, SE16 ","district","London, Greater London SE16, UK","51.499233","-0.04105"
"24","00:34","Nos 82-184 inclusive","district","London, UK","51.508129","-0.128005"
"44","01:14","66 East Surrey Grove, Peckham SE15","postal district differs","Surrey Grove, Walworth, London Borough of Southwark, Greater London, London, England, SE1 5TY, United Kingdom","51.487497","-0.082727"
"53","02:49","Prince Edward Road, E9","manual","Placed by hand on Prince Edward Road, Hackney Wick (was geocoded to Basildon).","51.5445","-0.0262"
"54","03:15","12, Jewell Street, Mile End. E1","district","Mile End, London Borough of Tower Hamlets, London E1, UK","51.526806","-0.039713"
"89","17:03","41 Windmill Lane, Deptford, Se8","approx","41 Windmill Lane, Deptford SE8, London, UK","51.4893","-0.0369"
"92","17:05","Basildon Road, Abbey Wood, SE2","postal district differs","Basildon Road, Abbey Wood, London Borough of Greenwich, Greater London, London, England, SE18, United Kingdom","51.489322","0.107863"
"96","17:12","The Vicarage, Poplar, E14","postal district differs","The Vicarage, St Peter's Close, London, Greater London E2 7AE, UK","51.530333","-0.064437"
"97","17:15","Colin Street, Bromley-By-Bow E3","district","Bromley By Bow, Poplar, London Borough of Tower Hamlets, London E3, UK","51.522444","-0.008645"
"99","17:15","Marner St School, Marner Street E3","district","London, Greater London E3, UK","51.530775","-0.029351"
"100","17:15","St. Leonards Wharf, Bromley E3","district","London, Greater London E3, UK","51.530856","-0.029493"
"106","17:15","Colin Street, Bromley-By-Bow, E3","district","Bromley By Bow, Poplar, London Borough of Tower Hamlets, London E3, UK","51.522525","-0.008787"
"107","17:23","Friendsliy Place, Greenwhich SE10","district","London, Greater London SE10, UK","51.48085","-0.002929"
"109","17:24","141 Albert Road, North Woolwich E16","postal district differs","Albert Road, North Woolwich, London Borough of Newham, Greater London, London, England, SE18, United Kingdom","51.500234","0.060157"
"110","17:24","143 Albert Road, North Woolwich E16","postal district differs","Albert Road, North Woolwich, London Borough of Newham, Greater London, London, England, SE18, United Kingdom","51.500315","0.060015"
"111","17:24","145 Albert Road, North Woolwich E16","postal district differs","Albert Road, North Woolwich, London Borough of Newham, Greater London, London, England, SE18, United Kingdom","51.500065","0.060181"
"112","17:24","147 Albert Road, North Woolwich E16","postal district differs","Albert Road, North Woolwich, London Borough of Newham, Greater London, London, England, SE18, United Kingdom","51.500399","0.06036"
"113","17:30","9 Sevenoaks Road Brokerley SE4","district","London, Greater London SE4, UK","51.459834","-0.032205"
"116","17:31","459 Brockley Road, Brocklet SE4","district","London, Greater London SE4, UK","51.459915","-0.032347"
"125","17:36","35 Colwick Street Deptford SE8","approx","35 Colwick Street Deptford SE8, London, UK","51.4895","-0.0387"
"144","17:45","18 Sevenoaks Road, Crofton park, SE4","district","London, Greater London SE4, UK","51.459665","-0.032181"
"145","17:45","8 Sevenoaks Road Crofton Park, SE4","district","London, Greater London SE4, UK","51.459999","-0.032002"
"148","17:45","4 Pier Road, North Woolwich, E16 ","postal district differs","Pier Road, North Woolwich, London Borough of Newham, Greater London, London, England, SE18, United Kingdom","51.498517","0.060049"
"158","17:46","Commonwealth Buildings, Woolwich Curch Street, SE18","district","London, Greater London SE18, UK","51.478198","0.076205"
"159","17:46","Commonwealth Buildings, Woolwich Curch Street, SE18","district","London, Greater London SE18, UK","51.478279","0.076063"
"160","17:46","Commonwealth Buildings, Woolwich Curch Street, SE18","district","London, Greater London SE18, UK","51.478029","0.076229"
"161","17:46","Commonwealth Buildings, Woolwich Curch Street, SE18","district","London, Greater London SE18, UK","51.478363","0.076408"
"173","17:52","Catherine Grove, Greenwich SE10","postal district differs","Catherine Grove, Deptford, London Borough of Greenwich, Greater London, London, England, SE29, United Kingdom","51.474525","-0.018802"
"178","17:53","Glebe Terrace, Bow E3","district","Bow, London Borough of Tower Hamlets, London E3, UK","51.530627","-0.028353"
"182","17:55","47 Lewisham Road SE10","postal district differs","Lewisham Road, Deptford, London Borough of Lewisham, Greater London, London, England, SE13, United Kingdom","51.464611","-0.011619"
"183","17:55","Hollyhedge House, Blackheath, SE3","district","Blackheath, 1 Blackheath Village, London, Greater London SE3 9LA, UK","51.470487","0.006889"
"186","17:55","30 Brandham Road, Lee Se12","district","Lee, London Borough of Lewisham, London SE12, UK","51.449445","0.013443"
"187","17:55","Uplands Brandram, Road, Lee SE12","district","Lee, London Borough of Lewisham, London SE12, UK","51.449526","0.013301"
"189","17:55","Brandham Road, Lee, SE12","district","Lee, London Borough of Lewisham, London SE12, UK","51.449276","0.013467"
"191","17:55","Alms House, Brandham, Lee, SE12","district","Lee, London Borough of Lewisham, London SE12, UK","51.44961","0.013646"
"200","17:58","Crofton Park Railway Station, Brockley, SE4","district","Brockley, London Borough of Lewisham, London SE4, UK","51.458336","-0.037428"
"201","17:58","100 Skidmore Street, Stepney E1","district","Stepney, London Borough of Tower Hamlets, London E1, UK","51.515985","-0.047725"
"203","17:59","Surrey Commercial Docks, SE16","approx","Surrey Commercial Docks, SE16, London, UK","51.5034","-0.0351"
"207","17:59","Arnold Road, Bow E3","postal district differs","Arnold Road, Bow, London Borough of Tower Hamlets, Greater London, London, England, E14, United Kingdom","51.526887","-0.022816"
"209","18:00","8 Lanbury Road, Camberwell SE15","postal district differs","Lanbury Road, New Cross Gate, London Borough of Southwark, Greater London, London, England, SE14, United Kingdom","51.459409","-0.047336"
"210","18:00","Thornham Street Greenwich SE10","postal district differs","Thornham Street, Deptford, London Borough of Greenwich, Greater London, London, England, E14, United Kingdom","51.480764","-0.014442"
"212","18:00","12 Buckthorne Road, Corfton Park SE4","district","London, Greater London SE4, UK","51.459792","-0.032584"
